2022-11-13 15:01:07: -- Analysis Started by Trying Locks Again
2022-11-13 15:01:57: Changes: 148, Conflicts: 0, CopyTime: 0, FixState: 0, Errors: 0, All: 42796
2022-11-13 15:01:57: Right to Left: Copy File: 148 
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/0e934a9830c655e4b5c37aa09da167c5.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/0e934a9830c655e4b5c37aa09da167c5.json' (8,671)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/10526d1f8aea85a3dfffa3928adb59bd.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/10526d1f8aea85a3dfffa3928adb59bd.json' (9,878)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/127a9fafec80f2d690ecf2bd1c70f9af.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/127a9fafec80f2d690ecf2bd1c70f9af.json' (1,505)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/12cf54359ac729501e82d0ed1642e377.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/12cf54359ac729501e82d0ed1642e377.json' (2,103)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/146976aab6e35df01ed2477c68704b13.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/146976aab6e35df01ed2477c68704b13.json' (30,480)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/1487cfed4b7dc06cf2e024e9ba0c7434.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/1487cfed4b7dc06cf2e024e9ba0c7434.json' (119,556)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/159b94aa4d909652e3ba3f16c39d0956.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/159b94aa4d909652e3ba3f16c39d0956.json' (3,956)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/185e180c8930222d1cf2906d8013320a.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/185e180c8930222d1cf2906d8013320a.json' (1,490)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/1c3a191f28e6c2d7e7076df88c3e6daa.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/1c3a191f28e6c2d7e7076df88c3e6daa.json' (623)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/1d9c57b750c39eb291ae9bf7de0198e4.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/1d9c57b750c39eb291ae9bf7de0198e4.json' (1,365)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/1d86d4655b35875858ee03f86a318912.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/1d86d4655b35875858ee03f86a318912.json' (33,365)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/1f64a50d315ac8852b40daa7c1fd8321.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/1f64a50d315ac8852b40daa7c1fd8321.json' (6,480)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/279120b5d3bedce5f5bf02a2f9dfb3e8.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/279120b5d3bedce5f5bf02a2f9dfb3e8.json' (7,571)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/29f78437986c578ecef5e21c4ed27074.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/29f78437986c578ecef5e21c4ed27074.json' (2,319)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/2abaf7d9b52cda885caaee0f86b9965c.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/2abaf7d9b52cda885caaee0f86b9965c.json' (2,567)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/2c83d50cd3522c49a4332fdef024435e.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/2c83d50cd3522c49a4332fdef024435e.json' (23,661)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/2c8b9b21cffe3809cebaef2ea82b562b.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/2c8b9b21cffe3809cebaef2ea82b562b.json' (3,893)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/2f0f0ddf2b25c9338a6475f0d5a08759.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/2f0f0ddf2b25c9338a6475f0d5a08759.json' (2,125)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/30fcc9e53088c7b66e8237964431ecad.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/30fcc9e53088c7b66e8237964431ecad.json' (313)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/342d185e5389cc4310af29240a9340e4.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/342d185e5389cc4310af29240a9340e4.json' (491)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/3556fa0af5cb9d1716e91fd3e8a0f5ba.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/3556fa0af5cb9d1716e91fd3e8a0f5ba.json' (1,082)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/3afed73c2d55468170b1dbce6c5d3176.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/3afed73c2d55468170b1dbce6c5d3176.json' (705)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/3c72fd0e1c28c658f5a3562a999f892c.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/3c72fd0e1c28c658f5a3562a999f892c.json' (1,233)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/3b280c4a74d79645f76bbe4bc833c976.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/3b280c4a74d79645f76bbe4bc833c976.json' (499)
2022-11-13 15:01:58: > Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/40741b46da3593486e9699a4eaf48161.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/40741b46da3593486e9699a4eaf48161.json' (2,933,945)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/3d579a0a9720f5533f668666e828e4e9.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/3d579a0a9720f5533f668666e828e4e9.json' (1,039)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/4150ffdab16c211898696506bfefc540.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/4150ffdab16c211898696506bfefc540.json' (1,356)
2022-11-13 15:01:59: < Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/40741b46da3593486e9699a4eaf48161.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/40741b46da3593486e9699a4eaf48161.json' (2,933,945)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/416a8e9a61989e0cf23fc0d3b159d307.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/416a8e9a61989e0cf23fc0d3b159d307.json' (3,914)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/41946932073a690e38df9881d1c28b63.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/41946932073a690e38df9881d1c28b63.json' (396)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/446bb955acca749165a0b50fe56d771b.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/446bb955acca749165a0b50fe56d771b.json' (3,392)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/47f1a297e4338c42d2a60215820c7311.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/47f1a297e4338c42d2a60215820c7311.json' (84,004)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/484111fc3947d33f10686ba73196cb60.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/484111fc3947d33f10686ba73196cb60.json' (9,101)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/49849d87462c8ccb86503336dc4c363b.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/49849d87462c8ccb86503336dc4c363b.json' (5,077)
2022-11-13 15:01:59: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/4a34485b4e7c07383eb282a7479b6ef4.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/4a34485b4e7c07383eb282a7479b6ef4.json' (804)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/50e6d9606ed9606fc9b6212d2962b125.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/50e6d9606ed9606fc9b6212d2962b125.json' (21,802)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/514f0e7342c52124bcdb9a08a8a86e75.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/514f0e7342c52124bcdb9a08a8a86e75.json' (2,545)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/527a3765f1555ff150549bcfff8cf8ce.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/527a3765f1555ff150549bcfff8cf8ce.json' (1,223)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/52f94c86fdc532b64923546a80d2428a.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/52f94c86fdc532b64923546a80d2428a.json' (901)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/5678ea1df9a826970278bf634fc8ab71.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/5678ea1df9a826970278bf634fc8ab71.json' (473)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/569633bea5a0583c80ac12d9e3110592.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/569633bea5a0583c80ac12d9e3110592.json' (13,098)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/57b279110bc15c0d9142f9e9a9a8a606.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/57b279110bc15c0d9142f9e9a9a8a606.json' (1,778)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/57f1749087c0e5d44e0569b94f4a23dc.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/57f1749087c0e5d44e0569b94f4a23dc.json' (1,655)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/59995951df1565591fb5cada9bc5821b.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/59995951df1565591fb5cada9bc5821b.json' (1,517)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/610b382b48ed009b93b3719be471b323.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/610b382b48ed009b93b3719be471b323.json' (6,115)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/618263ab7ba987f0fdd0b7715e4b0afd.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/618263ab7ba987f0fdd0b7715e4b0afd.json' (28,351)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/631f9620b9def3a0b2ea94ec4415646b.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/631f9620b9def3a0b2ea94ec4415646b.json' (884)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/64ddc75b9d313a6b32463ba909285e95.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/64ddc75b9d313a6b32463ba909285e95.json' (8,213)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/67dcba0db67cf0ea6697841bf5b9d0d7.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/67dcba0db67cf0ea6697841bf5b9d0d7.json' (2,674)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/68ae60c58ae57e2c92e0111ff868a198.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/68ae60c58ae57e2c92e0111ff868a198.json' (894)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/6a4e912b518a2a8f7905a1152e66bbd9.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/6a4e912b518a2a8f7905a1152e66bbd9.json' (3,040)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/6c31e95ca074bfa3e175d48ceefb97ff.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/6c31e95ca074bfa3e175d48ceefb97ff.json' (2,612)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/6d57cd2c53cd79bcb6259522235b5194.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/6d57cd2c53cd79bcb6259522235b5194.json' (5,351)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/70f24aa7116ffff1414be7730d4ddabb.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/70f24aa7116ffff1414be7730d4ddabb.json' (871)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/713cd63411081f399d2c88e8412be816.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/713cd63411081f399d2c88e8412be816.json' (1,252)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/72d8c41bbd1fa43cfbc8101385f69bb8.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/72d8c41bbd1fa43cfbc8101385f69bb8.json' (852)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/72cfcee2e8bb64690e03de22614b497c.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/72cfcee2e8bb64690e03de22614b497c.json' (2,699)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/73100cdbcb5c408bfb82ba0b972b3463.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/73100cdbcb5c408bfb82ba0b972b3463.json' (2,409)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/749dd36f7b412e188d88f5d485ef2cff.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/749dd36f7b412e188d88f5d485ef2cff.json' (2,382)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/7414b435fa0de74c21cb045066ade0ea.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/7414b435fa0de74c21cb045066ade0ea.json' (22,453)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/74d99400db67758bc1103b7e8b29335a.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/74d99400db67758bc1103b7e8b29335a.json' (1,566)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/75333e13f466865f2925d17d5e98f60b.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/75333e13f466865f2925d17d5e98f60b.json' (1,291)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/811d9bfbdf444ac9f12e8aab2487de0d.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/811d9bfbdf444ac9f12e8aab2487de0d.json' (311)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/8150c52524c9050f2635604b03f02032.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/8150c52524c9050f2635604b03f02032.json' (1,476)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/85172051c43ab1f271972b2cfdf264ae.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/85172051c43ab1f271972b2cfdf264ae.json' (5,328)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/8245faa99a5d0fec9581083b856b43d9.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/8245faa99a5d0fec9581083b856b43d9.json' (22,936)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/87497826a74448e7ec993dbdd69b6b36.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/87497826a74448e7ec993dbdd69b6b36.json' (3,722)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/8e9be71095188b3338de9fd5b4ca17dd.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/8e9be71095188b3338de9fd5b4ca17dd.json' (1,019)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/8ac415a046c62339a931e4fe5149fda4.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/8ac415a046c62339a931e4fe5149fda4.json' (5,021)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/8f951b1a997dbe67eeb8f829e17423dd.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/8f951b1a997dbe67eeb8f829e17423dd.json' (4,120)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/91c7ff9ac5911ed1046855532ad4a222.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/91c7ff9ac5911ed1046855532ad4a222.json' (3,652)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/9273a696ad121ac993e76047c9e72f94.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/9273a696ad121ac993e76047c9e72f94.json' (8,659)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/90b706127bcedbcf77f8d61faa4cc6bb.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/90b706127bcedbcf77f8d61faa4cc6bb.json' (2,709)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/973f70b40ff3c12760d7b295ecbfc8f7.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/973f70b40ff3c12760d7b295ecbfc8f7.json' (9,809)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/963a79d5dac43f26ec2158093ac2cda6.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/963a79d5dac43f26ec2158093ac2cda6.json' (1,223)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/968007e0e45875665d7e3a6e2cb734f1.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/968007e0e45875665d7e3a6e2cb734f1.json' (28,431)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/9afb8e4758f256d0116056fae44cd1ca.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/9afb8e4758f256d0116056fae44cd1ca.json' (1,682)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/9df2d1ed5dd385a58a000fe04c3b414e.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/9df2d1ed5dd385a58a000fe04c3b414e.json' (5,599)
